song ID	song title	singer	lyricist	Total word count	English exist in whole	Total Eng word count	Eng % in whole	Spoken exist in whole	Total Spoken word count	Spoken % in whole	Putonghua exist in whole	both eng and spoken
S19-2	最後的信仰	林二汶 (Eman Lam)	林夕	342	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S19-3	致旅途中的我	Nowhere Boys	Fisher Kan,Van Chan	281	TRUE	22	7.83%	TRUE	1	0.36%	FALSE	TRUE
S19-4	Dream My Dreams	黃淑蔓 (Feanna Wong)	曰云	406	TRUE	73	17.98%	FALSE	0	0%	FALSE	FALSE
S19-5	努力奮鬥加油	林海峰 (Jan Lamb)	林海峰	342	FALSE	0	0%	TRUE	62	18.13%	FALSE	FALSE
S20-1	呼吸有害	莫文蔚（Karen Mok）	羅健成	289	FALSE	0	0%	TRUE	3	1.04%	FALSE	FALSE
S20-2	銀河修理員	Dear Jane	黃偉文	366	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S20-3	Ignited	Mirror	陳詠謙	542	TRUE	66	12.18%	TRUE	58	10.7%	FALSE	TRUE
S20-4	無力感	許廷鏗 (Alfred Hui)	T-Rexx	368	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S20-5	地球來的人	馮允謙 (Jay Fung)	王樂儀	340	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S21-1	Ciao	RubberBand	RubberBand,Tim Lui	288	FALSE	0	0%	TRUE	11	3.82%	FALSE	FALSE
S21-2	Mirror	Boss	林寶,Lokman@Mirror,Alton@Mirror	723	TRUE	184	25.45%	TRUE	83	11.48%	FALSE	TRUE
S21-3	俏郎君	張敬軒 (Hins Cheung)	黃偉文	416	FALSE	0	0%	TRUE	14	3.37%	FALSE	FALSE
S21-4	多喝水	鄭融 (Stephanie Cheng)	黃偉文	376	FALSE	0	0%	TRUE	48	12.77%	FALSE	FALSE
S21-5	神奇的糊塗魔藥	林家謙 (Terence Lam)	林家謙	353	FALSE	0	0%	TRUE	12	3.4%	FALSE	FALSE
S22-1	邊一個發明了ENCORE	林家謙 (Terence Lam)	黃偉文	368	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S22-2	小心地滑	MC 張天賦	黃偉文	451	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S22-3	到底發生過什麼事	Dear Jane	黃偉文	446	FALSE	0	0%	TRUE	3	0.67%	FALSE	FALSE
S22-4	鏡中鏡	姜濤 (Keung To)	小克	405	TRUE	3	0.74%	TRUE	51	12.59%	FALSE	TRUE
S22-5	憶年	謝安琪 (Kay Tse)	T-Rexx	381	TRUE	5	1.31%	TRUE	2	0.52%	FALSE	TRUE
S23-1	隱形遊樂場	張敬軒 (Hins Cheung)	黃偉文	268	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S23-2	Dum Dum	李幸倪 (Gin Lee)	黃偉文	445	TRUE	97	21.8%	FALSE	0	0%	FALSE	FALSE
S23-3	伸縮自如的愛	陳蕾 (Panther Chan)	陳蕾	387	TRUE	1	0.26%	FALSE	0	0%	FALSE	FALSE
S23-4	不如散步	RubberBand	Tim Lui,RubberBand	387	TRUE	109	28.17%	TRUE	15	3.88%	FALSE	TRUE
S23-5	一把火	LollyTalk	甄敏延,鍾說	516	TRUE	120	23.26%	TRUE	29	5.62%	FALSE	TRUE
